    18/299        0G   0.06152   0.01756         0   0.07909         2       640         0         0   0.09751   0.02317   0.05609   0.01586         0
    19/299        0G    0.0607   0.01881         0   0.07951         4       640         1  0.008696    0.1489   0.03354   0.05224   0.01593         0
    20/299        0G   0.05995   0.01872         0   0.07866         2       640         0         0    0.1264   0.03316   0.04965   0.01615         0
    21/299        0G   0.05351   0.01709         0    0.0706         1       640    0.5922   0.04348    0.1486   0.04651    0.0487   0.01592         0
    22/299        0G   0.05958   0.01795         0   0.07753         2       640    0.3678   0.06957     0.153   0.04003   0.04912   0.01521         0
    23/299        0G   0.05557   0.01733         0   0.07291         1       640    0.3223    0.1043    0.1595   0.03071   0.05311   0.01471         0
    24/299        0G   0.05904   0.01787         0   0.07691         1       640    0.3508    0.1826    0.2339   0.06579   0.04683   0.01513         0
    25/299        0G   0.05837   0.01643         0   0.07479         4       640    0.1784     0.113    0.1362   0.02428   0.05971   0.01351         0
    26/299        0G   0.05881   0.01578         0   0.07458         1       640    0.3666    0.2174    0.2501   0.06844   0.05071   0.01388         0
    27/299        0G   0.05626   0.01664         0   0.07289         1       640    0.3319    0.2087      0.27   0.06721   0.04979   0.01396         0
    28/299        0G   0.06093   0.01657         0    0.0775         1       640    0.3353    0.2696    0.2997   0.08067   0.04846   0.01391         0
    29/299        0G   0.05254   0.01598         0   0.06852         1       640    0.4367    0.3913    0.3785    0.0998     0.043   0.01416         0
    30/299        0G   0.05341   0.01633         0   0.06974         1       640     0.309    0.3826    0.2934    0.0948   0.04376     0.014         0
    31/299        0G   0.05539   0.01716         0   0.07255         2       640    0.2471    0.4696    0.2937   0.06713   0.04241   0.01465         0
    32/299        0G    0.0463   0.01643         0   0.06272         2       640    0.2972       0.6    0.4087    0.1211   0.04056   0.01455         0
    33/299        0G   0.04914   0.01705         0   0.06619         3       640      0.21    0.6783    0.3846    0.1208   0.03884   0.01481         0
    34/299        0G   0.04898   0.01523         0   0.06421         2       640    0.2275    0.6957    0.4801     0.195   0.04118   0.01391         0
    35/299        0G   0.04887   0.01738         0   0.06625         4       640    0.2469    0.7217    0.5592    0.2115   0.03894   0.01281         0
    36/299        0G   0.04785   0.01454         0   0.06239         1       640    0.1703    0.6696    0.2838   0.06394   0.04759   0.01254         0
    37/299        0G   0.05259     0.016         0    0.0686         2       640    0.3562    0.6399    0.5283    0.1412   0.04282   0.01222         0
    38/299        0G   0.04756   0.01464         0    0.0622         3       640    0.3241    0.6957    0.5536    0.2029    0.0406   0.01248         0
    39/299        0G   0.05237   0.01483         0    0.0672         3       640    0.1833    0.7565    0.4564    0.1286   0.04117   0.01226         0
    40/299        0G   0.04672   0.01485         0   0.06157         4       640     0.168       0.8    0.4507     0.134   0.04405   0.01218         0
    41/299        0G   0.04772   0.01256         0   0.06028         1       640    0.2303    0.7826    0.5521    0.1882    0.0395   0.01158         0
    42/299        0G   0.04876    0.0151         0   0.06385         4       640    0.2075    0.7478    0.4797    0.1795   0.03934   0.01197         0
    43/299        0G   0.04447   0.01424         0   0.05871         4       640    0.2324    0.8174    0.5884    0.2252   0.03642   0.01133         0
    44/299        0G   0.04448   0.01336         0   0.05784         2       640     0.241    0.8609    0.6335     0.274   0.03494    0.0112         0
    45/299        0G   0.04475   0.01396         0   0.05871         4       640    0.2356    0.8957    0.5889     0.223     0.036   0.01068         0
    46/299        0G   0.04333   0.01361         0   0.05694         1       640    0.1976    0.9217       0.6    0.1696   0.03603   0.01102         0
    47/299        0G   0.04485   0.01261         0   0.05746         2       640    0.2041    0.8609     0.525    0.1597   0.04094   0.01122         0
    48/299        0G   0.04694   0.01139         0   0.05834         1       640    0.3171    0.8087    0.6039    0.2136   0.03808   0.01067         0
    49/299        0G   0.04756   0.01382         0   0.06137         4       640    0.2678    0.9043    0.6463    0.2266   0.03552   0.01126         0
    50/299        0G   0.04862   0.01414         0   0.06275         2       640    0.2093    0.8261    0.6096    0.1737   0.04045   0.01131         0
    51/299        0G   0.04816   0.01256         0   0.06072         1       640    0.2861    0.7739     0.621      0.26   0.03621   0.01114         0
    52/299        0G   0.04219   0.01296         0   0.05515         1       640    0.2953    0.9217    0.7565    0.3309   0.03415   0.01046         0
    53/299        0G   0.04425   0.01385         0    0.0581         1       640    0.2869    0.9391    0.7655    0.2843   0.03376    0.0102         0
